id,listing_id,portal,lead_source,created_at
LD001,L001,SeLoger,portal,2025-11-03T10:32:00Z
LD002,L001,SeLoger,portal,2025-11-05T15:12:00Z
LD003,L004,SeLoger,portal,2025-10-25T09:00:00Z
LD004,L002,LeBonCoin,portal,2025-11-01T11:20:00Z
LD005,L002,LeBonCoin,portal,2025-10-19T14:00:00Z
LD006,L005,LeBonCoin,portal,2025-11-02T09:30:00Z
LD007,L003,LogicImmo,portal,2025-10-30T18:45:00Z
LD008,L003,LogicImmo,portal,2025-11-04T09:45:00Z
LD009,L001,SeLoger,portal,2025-10-15T13:00:00Z
LD010,L002,LeBonCoin,portal,2025-11-05T08:00:00Z
LD011,L003,LogicImmo,portal,2025-11-06T19:20:00Z
LD012,L005,LeBonCoin,portal,2025-11-07T12:40:00Z
